source,run_num,dl,output,log_name,num_cases
model_concatenated_42-0.42.h5,0,0.561549071,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_42-0.42.h5,1,0.565863546,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_42-0.42.h5,2,0.579784193,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_42-0.42.h5,3,0.573570303,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_42-0.42.h5,4,0.575086734,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_42-0.42.h5,5,0.576582244,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_42-0.42.h5,6,0.568300125,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_42-0.42.h5,7,0.577158459,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_42-0.42.h5,8,0.583664776,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_42-0.42.h5,9,0.550843703,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_87-0.42.h5,0,0.563018429,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_87-0.42.h5,1,0.550090417,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_87-0.42.h5,2,0.564701684,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_87-0.42.h5,3,0.547941153,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_87-0.42.h5,4,0.57269256,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_87-0.42.h5,5,0.566384435,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_87-0.42.h5,6,0.556212723,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_87-0.42.h5,7,0.548679108,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_87-0.42.h5,8,0.560026101,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_87-0.42.h5,9,0.562333946,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_38-0.41.h5,0,0.606497784,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_38-0.41.h5,1,0.586000493,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_38-0.41.h5,2,0.566762261,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_38-0.41.h5,3,0.595176059,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_38-0.41.h5,4,0.575360723,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_38-0.41.h5,5,0.587854617,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_38-0.41.h5,6,0.573339645,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_38-0.41.h5,7,0.574679933,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_38-0.41.h5,8,0.595763645,outputs/20200805_185852128833,PurchasingExample,173
