source,run_num,els,output,log_name,num_cases
model_concatenated_31-1.18.h5,2,0.563070147,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_31-1.18.h5,3,0.563050043,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_31-1.18.h5,4,0.557397199,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_31-1.18.h5,5,0.542138837,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_31-1.18.h5,6,0.563114514,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_31-1.18.h5,7,0.56803193,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_31-1.18.h5,8,0.555593763,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_31-1.18.h5,9,0.558288366,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_63-1.31.h5,0,0.529920369,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_63-1.31.h5,1,0.545979722,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_63-1.31.h5,2,0.540591097,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_63-1.31.h5,3,0.522875786,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_63-1.31.h5,4,0.526379008,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_63-1.31.h5,5,0.528709446,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_63-1.31.h5,6,0.538517286,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_63-1.31.h5,7,0.543425342,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_63-1.31.h5,8,0.544416116,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_concatenated_63-1.31.h5,9,0.531152651,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_shared_cat_gru_62-1.32.h5,0,0.538590842,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_shared_cat_gru_62-1.32.h5,1,0.567689155,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_shared_cat_gru_62-1.32.h5,2,0.564977478,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_shared_cat_gru_62-1.32.h5,3,0.576829155,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_shared_cat_gru_62-1.32.h5,4,0.570129164,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_shared_cat_gru_62-1.32.h5,5,0.567710981,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_shared_cat_gru_62-1.32.h5,6,0.571369837,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_shared_cat_gru_62-1.32.h5,7,0.561530732,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_shared_cat_gru_62-1.32.h5,8,0.553336248,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_shared_cat_gru_62-1.32.h5,9,0.552763009,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_144-1.47.h5,0,0.437432737,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_144-1.47.h5,1,0.571339337,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_144-1.47.h5,2,0.559642939,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_144-1.47.h5,3,0.571548023,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_144-1.47.h5,4,0.574661326,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_144-1.47.h5,5,0.563702329,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_144-1.47.h5,6,0.573733423,outputs/20200805_185852129224,ConsultaDataMining201618,252
model_specialized_144-1.47.h5,7,0.557264277,outputs/20200805_185852129224,ConsultaDataMining201618,252
