source,run_num,mae_log,output,log_name,num_cases
model_concatenated_87-0.42.h5,2,2340483.973,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_87-0.42.h5,3,2287889.031,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_87-0.42.h5,4,2321770.481,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_87-0.42.h5,5,2297190.368,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_87-0.42.h5,6,2302074.74,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_87-0.42.h5,7,2297815.134,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_87-0.42.h5,8,2305475.756,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_87-0.42.h5,9,2319885.932,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_38-0.41.h5,0,2255898.075,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_38-0.41.h5,1,2257029.365,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_38-0.41.h5,2,2277797.381,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_38-0.41.h5,3,2253621.043,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_38-0.41.h5,4,2258850.161,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_38-0.41.h5,5,2238726.043,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_38-0.41.h5,6,2280552.256,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_38-0.41.h5,7,2253613.444,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_38-0.41.h5,8,2255070.247,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_38-0.41.h5,9,2252731.836,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_79-0.37.h5,0,2369356.925,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_79-0.37.h5,1,2334374.803,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_79-0.37.h5,2,2376845.578,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_79-0.37.h5,3,2393193.786,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_79-0.37.h5,4,2349344.538,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_79-0.37.h5,5,2367559.503,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_79-0.37.h5,6,2358700.092,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_79-0.37.h5,7,2360497.295,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_79-0.37.h5,8,2368143.873,outputs/20200805_185852128833,PurchasingExample,173
model_concatenated_gru_79-0.37.h5,9,2382620.168,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_14-0.52.h5,0,2741062.024,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_14-0.52.h5,1,2739139.45,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_14-0.52.h5,2,2739515.873,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_14-0.52.h5,3,2738190.826,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_14-0.52.h5,4,2738581.941,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_14-0.52.h5,5,2736823.679,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_14-0.52.h5,6,2736467.578,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_14-0.52.h5,7,2738686.069,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_14-0.52.h5,8,2738467.752,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_14-0.52.h5,9,2739718.417,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_gru_35-0.51.h5,0,2550298.923,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_gru_35-0.51.h5,1,2555606.185,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_gru_35-0.51.h5,2,2547673.059,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_gru_35-0.51.h5,3,2548278.042,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_gru_35-0.51.h5,4,2561481.495,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_gru_35-0.51.h5,5,2554641.016,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_gru_35-0.51.h5,6,2538227.145,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_gru_35-0.51.h5,7,2559593.035,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_gru_35-0.51.h5,8,2546164.65,outputs/20200805_185852128833,PurchasingExample,173
model_specialized_gru_35-0.51.h5,9,2557970.052,outputs/20200805_185852128833,PurchasingExample,173
BPI_Challenge_2012_W_Two_TS_training.bpmn,0,745556.6116,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
BPI_Challenge_2012_W_Two_TS_training.bpmn,1,745395.9455,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
BPI_Challenge_2012_W_Two_TS_training.bpmn,2,745533.6588,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
BPI_Challenge_2012_W_Two_TS_training.bpmn,3,745488.9292,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
BPI_Challenge_2012_W_Two_TS_training.bpmn,4,745423.3075,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
BPI_Challenge_2012_W_Two_TS_training.bpmn,5,745552.5232,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
BPI_Challenge_2012_W_Two_TS_training.bpmn,6,745593.7869,outputs/20200805_192133894698,BPI_Challenge_2012_W_Two_TS,2085
